date;day;average;median;deviation
20210807;1072;0.35;0.35;0
20210808;1073;0.4378408348452368;0.4;0.3455882047523548
20210809;1074;1.7991276387649806;1.49;1.3322068943702323
20210810;1075;1.3276853973947922;1;1.527073724312174
20210811;1076;1.0645199555670295;0.77;1.2308420911853784
20210812;1077;0.9532682062449555;0.7;0.8755177161119806
20210813;1078;0.8610630764563107;0.69;0.5414641267048453
20210814;1079;0.7568070022747214;0.65;0.42957331572441687
20210815;1080;0.8234227577922207;0.65;0.669719360345912
20210816;1081;0.6833601695716248;0.53495;0.6136243706297797
20210817;1082;0.5663086092715235;0.48;0.32235545038366104
20210818;1083;0.6318867493470443;0.49;0.5128356640018676
20210819;1084;0.5070702734613302;0.42;0.2676133951272213
20210820;1085;0.5462085188284306;0.415;0.4713443417249414
20210821;1086;0.6206656422305183;0.455;0.7444013844326058
20210822;1087;0.6451589525389005;0.49;0.5641074594537085
20210823;1088;0.8887212371884977;0.5;1.3542910863649293
20210824;1089;0.682041216216216;0.55;0.5374114823400145
20210825;1090;0.8131298242717336;0.66;0.5009822195068774
20210826;1091;0.8063354609929079;0.69;0.5033867906682199
20210827;1092;0.7428349708808799;0.65;0.2949127251336604
20210828;1093;0.8193727574019511;0.75;0.3704647369695603
20210829;1094;0.9891049809136041;0.8;0.7609743885762243
20210830;1095;1.0571931763223668;0.859;0.9542344160888345
20210831;1096;0.925606305515885;0.8;0.40235149658126396
20210901;1097;1.4318430401489908;0.9305000000000001;1.6456062229470605
20210902;1098;1.0135083333333337;0.89;0.6755297405826383
20210903;1099;0.9232552631578947;0.84;0.284918981084731
20210904;1100;0.858251318389043;0.72;0.525815977959113
20210905;1101;0.7390551778993191;0.6889;0.24557075581945312
20210906;1102;0.7864441701521182;0.687;0.42473468998152
20210907;1103;0.8505956953914979;0.639;0.6899242936007173
20210908;1104;0.7606846153846154;0.6;0.3997728819286096
20210909;1105;0.7279323943661972;0.62;0.3269547866403584
20210910;1106;0.7229954545454544;0.695;0.310760194657407
20210911;1107;0.7660725648741277;0.73;0.3238975653851505
20210912;1108;0.7736301886792455;0.65;0.3905809940553578
20210913;1109;0.7373083333333333;0.595;0.308957647184243
20210914;1110;1.0673055045871553;0.59;0.9039750706201762
20210915;1111;1.251255172413793;0.65;1.721164146232387
20210916;1112;0.7623093750000001;0.615;0.42216928293951145
20210917;1113;0.7579384615384614;0.5969;0.5684116941162428
20210918;1114;0.7543119047619049;0.59;0.5944889628310948
20210919;1115;0.9447075;0.78;0.7501165585965752
20210920;1116;0.8341352941176471;0.72;0.3185211737240037
20210921;1117;0.9090997422251357;0.6995;0.5185649210564729
20210922;1118;0.7655473684210525;0.685;0.26039738627081377
20210923;1119;1.1006955337373614;0.69;1.4077032390057702
20210924;1120;0.9206950537829598;0.74;0.535840561737821
20210925;1121;0.7623219512195121;0.7;0.17316307128281586
20210926;1122;1.1860739107786828;0.94;0.6962664231709234
20210927;1123;0.8912394736842105;0.75;0.396656929538697
20210928;1124;1.079793693375069;0.75;0.8593667085211886
20210929;1125;1.1980395604395606;0.9;0.7819228387449211
20210930;1126;1.115683950617284;0.88;0.7339273241365234
20211001;1127;1.2157480440983799;0.95;0.8563506692352445
20211002;1128;1.1455772727272726;0.9724999999999999;0.44173368627768983
20211003;1129;1.257284782608696;1;0.5704017358648987
20211004;1130;1.5704492957746479;1.2;1.4093184376928183
20211005;1131;1.361504212784787;1.0053999999999998;0.8250158262870444
20211006;1132;1.428857031249999;1.085;1.286222324598912
20211007;1133;1.2854074999999998;1.0975000000000001;0.5468815422089693
20211008;1134;1.7924288888888888;1.1;2.351634438183251
20211009;1135;1.428582646633452;1.3450000000000002;0.5203558749421439
20211010;1136;1.6266509803921572;1.15;1.1028722229474361
20211011;1137;1.5593238805970155;1.2;0.8784523503905218
20211012;1138;1.490569059238052;1.25;0.49987292600268424
20211013;1139;1.673093098045611;1.3;0.8723003382511418
20211014;1140;1.6744400000000002;1.3;0.9683393387328122
20211015;1141;1.5976896551724136;1.35;0.6191221379298892
20211016;1142;1.3991809523809522;1.105;0.6276521660757324
20211017;1143;1.464009756097561;1.19;0.8466671848503632
20211018;1144;1.3169287878787879;1.125;0.48393209497110595
20211019;1145;1.2959187930608058;1.05;0.4238993620020888
20211020;1146;1.3545558823529416;1.0750000000000002;1.0215846836096247
20211021;1147;1.7281870370370371;1.08;1.5926596014388028
20211022;1148;1.3256949152542377;1.19;0.4202521199042837
20211023;1149;1.4758596491228069;1.15;0.9551569605230279
20211024;1150;1.5281048780487805;1.26;0.7613803504002515
20211025;1151;1.401513396731811;1.165;0.6220089552987123
20211026;1152;1.4464684210526315;1.2445;0.7702496226146301
20211027;1153;1.43244;1.25;0.7320394502119859
20211028;1154;1.5044480645161284;1.39;1.0399811774224157
20211029;1155;1.2590970588235297;1.0805;0.7470145564624862
20211030;1156;1.3723078947368423;1.123;0.6417861011783587
20211031;1157;1.3847938235294117;1.0945;0.774456506492504
20211101;1158;1.2756499999999997;1.09;0.6242503442194202
20211102;1159;1.2719999999999998;1.1;0.5546968283923853
20211103;1160;1.1644700000000001;1;0.510221146170952
20211104;1161;1.1861972972972972;1.1;0.4076329316148745
20211105;1162;1.3467890909090907;1.2;0.6031260520766805
20211106;1163;1.1399052631578948;1.101;0.1949723469671311
20211107;1164;1.4754689655172415;1.3025;0.5603240478913253
20211108;1165;1.1546365853658536;1.05;0.29545203566407996
20211109;1166;1.1283090909090907;1;0.34933856487523807
